Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	17.0	22924774	-0.852
miRNA	0.0	95572	-11.985
ncRNA	44.0	6761450	2.282
TTS	80.0	31381780	0.930
pseudo	4.0	1961750	0.607
Exon	382.0	36382413	2.972
Intron	868.0	1246050094	-0.942
Intergenic	293.0	1645830153	-2.910
Promoter	2091.0	35056978	5.478
5UTR	275.0	2783389	6.206
snoRNA	0.0	357	-11.985
scRNA	0.0	97	-11.985
rRNA	0.0	26339	-11.985
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	17.0	22924774	-0.851
Retroposon	0.0	4060468	-11.985
RC?	0.0	59630	-11.985
RNA	0.0	107936	-11.985
miRNA	0.0	95572	-11.985
ncRNA	44.0	6761450	2.282
TTS	80.0	31381780	0.930
LINE	10.0	627504410	-6.391
srpRNA	0.0	262414	-11.985
SINE	28.0	378057559	-4.175
RC	0.0	359714	-11.985
tRNA	1.0	91320	3.033
DNA?	0.0	422563	-11.985
pseudo	4.0	1961750	0.608
DNA	5.0	99148603	-4.730
Exon	381.0	36382413	2.969
Intron	202.0	650637581	-2.107
Intergenic	123.0	749681294	-3.028
Promoter	2090.0	35056978	5.478
5UTR	274.0	2783389	6.201
snoRNA	0.0	357	-11.985
LTR?	0.0	1139363	-11.985
scRNA	0.0	121903	-11.985
CpG-Island	774.0	9114713	5.988
Low_complexity	1.0	5408573	-2.855
LTR	9.0	257998763	-5.261
Simple_repeat	10.0	33946746	-2.183
snRNA	1.0	312412	1.259
Unknown	0.0	713706	-11.985
SINE?	0.0	2674	-11.985
Satellite	1.0	74282381	-6.635
rRNA	0.0	200711	-11.985
