Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	98.0	22924774	0.165
miRNA	0.0	95572	-13.496
ncRNA	64.0	6763811	1.311
TTS	185.0	31386291	0.628
pseudo	10.0	1963346	0.418
Exon	291.0	36382721	1.069
Intron	4430.0	1246051873	-0.101
Intergenic	4223.0	1645852255	-0.572
Promoter	2074.0	35061382	3.955
5UTR	177.0	2783389	4.060
snoRNA	0.0	357	-13.496
scRNA	0.0	97	-13.496
rRNA	0.0	26339	-13.496
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	98.0	22924774	0.165
Retroposon	193.0	4060468	3.640
RC?	0.0	59630	-13.496
RNA	1.0	107936	1.281
miRNA	0.0	95572	-13.496
ncRNA	64.0	6763811	1.311
TTS	185.0	31386291	0.628
LINE	574.0	627448277	-2.059
srpRNA	1.0	262414	-0.001
SINE	711.0	378052903	-1.020
RC	2.0	359714	0.544
tRNA	10.0	91394	4.843
DNA?	2.0	422563	0.312
pseudo	10.0	1963346	0.418
DNA	186.0	99145854	-1.023
Exon	291.0	36382721	1.069
Intron	2642.0	650638517	0.091
Intergenic	2130.0	749672892	-0.424
Promoter	2073.0	35061382	3.955
5UTR	177.0	2783389	4.060
snoRNA	0.0	357	-13.496
LTR?	4.0	1139363	-0.119
scRNA	0.0	121903	-13.496
CpG-Island	547.0	9112035	3.977
Low_complexity	8.0	5407871	-1.366
LTR	1581.0	257990734	0.685
Simple_repeat	59.0	33877216	-1.131
snRNA	0.0	312456	-13.496
Unknown	1.0	713706	-1.444
SINE?	0.0	2674	-13.496
Satellite	6.0	74143587	-5.558
rRNA	0.0	198846	-13.496
