Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	140.0	22926626	0.890
miRNA	1.0	95572	1.667
ncRNA	96.0	6764753	2.106
TTS	284.0	31398694	1.457
pseudo	28.0	1974709	2.105
Exon	898.0	36384604	2.905
Intron	4067.0	1246215639	-0.014
Intergenic	2561.0	1646567908	-1.083
Promoter	1660.0	35081985	3.844
5UTR	251.0	2783451	4.774
snoRNA	0.0	357	-13.286
scRNA	0.0	97	-13.286
rRNA	0.0	46139	-13.286
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	140.0	22926626	0.879
Retroposon	1.0	4067731	-3.755
RC?	0.0	59630	-13.298
RNA	0.0	107936	-13.298
miRNA	1.0	95572	1.656
ncRNA	96.0	6764753	2.096
TTS	284.0	31398694	1.446
LINE	385.0	627975019	-2.437
srpRNA	0.0	262820	-13.298
SINE	723.0	378232059	-0.796
RC	1.0	359714	-0.256
tRNA	0.0	91480	-13.298
DNA?	1.0	422563	-0.488
pseudo	28.0	1974709	2.095
DNA	84.0	99190443	-1.971
Exon	897.0	36384604	2.893
Intron	2294.0	650704806	0.087
Intergenic	1391.0	750577991	-0.841
Promoter	1660.0	35081985	3.833
5UTR	250.0	2783451	4.758
snoRNA	0.0	357	-13.298
LTR?	0.0	1139363	-13.298
scRNA	1.0	122103	1.303
CpG-Island	1253.0	9133763	5.369
Low_complexity	10.0	5412662	-0.845
LTR	322.0	258235828	-1.412
Simple_repeat	158.0	34228916	0.476
snRNA	0.0	312620	-13.298
Unknown	1.0	713706	-1.244
SINE?	0.0	2674	-13.298
Satellite	88.0	74794570	-1.496
rRNA	1.0	230738	0.385
