Sample	Unfiltered_Reads	Filtered_Reads	NRF	PBC1	PBC2
H2171_H3K27me3_chip_BR4.sorted	29130876	19550413	0.6711	0.9943	188.1655
H2171_H3K27me3_chip_BR5.sorted	51380307	33435240	0.6507	0.9905	111.9757
H82_H3K27me3_chip_BR4.sorted	248327444	138069952	0.556	0.9647	30.5178
H82_H3K27me3_chip_BR5.sorted	67684360	40197429	0.5939	0.9883	92.9634
H524_H3K27me3_chip_BR4.sorted	82933756	54131145	0.6527	0.9721	39.4618
H524_H3K27me3_chip_BR5.sorted	33552388	23667449	0.7054	0.9859	82.3672
CORL88_H3K27me3_chip_BR2.sorted	63834045	32930409	0.5159	0.9919	142.811
H209_H3K27me3_chip_BR3.sorted	46340762	25453376	0.5493	0.9948	221.7278
H2171_H3K4me3_chip_BR4.sorted	303516201	169991378	0.5601	0.8158	8.3745
H2171_H3K4me3_chip_BR5.sorted	46921123	29547691	0.6297	0.9384	18.3528
H82_H3K4me3_chip_BR4.sorted	80672094	45948379	0.5696	0.9427	19.899
H82_H3K4me3_chip_BR5.sorted	34158229	19722951	0.5774	0.9942	201.5491
H2081_H3K4me3_chip_BR1.sorted	94604411	58251770	0.6157	0.9388	18.2643
CORL88_H3K4me3_chip_BR1.sorted	49033806	30223746	0.6164	0.9941	189.9155
CORL88_H3K4me3_chip_BR2.sorted	140252568	80475163	0.5738	0.9864	78.4872
H209_H3K4me3_chip_BR2.sorted	32097745	15947784	0.4969	0.9906	143.1778
H209_H3K4me3_chip_BR3.sorted	10412538	5988701	0.5751	0.9964	358.8639
