PeakID (cmd=annotatePeaks.pl /hpc/users/divagt01/watanabe/Divagar/ChIP_seq_files/consensus_peaks_files/shared_peaks.bed hg38 -annStats shared_peaks_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
599	chr10	102399484	102399675	+	0	NA	exon (NM_001322934, exon 14 of 23)	exon (NM_001322934, exon 14 of 23)	3983	NM_001322934	4791	Hs.73090	NM_002502	ENSG00000077150	NFKB2	CVID10|H2TF1|LYT-10|LYT10|NF-kB2|p100|p49/p100|p52	nuclear factor kappa B subunit 2	protein-coding
2878	chr3	160226450	160226673	+	0	NA	TTS (NR_148401)	TTS (NR_148401)	925	NM_001168214	401097	Hs.729755	NM_001168214	ENSG00000180044	C3orf80	-	chromosome 3 open reading frame 80	protein-coding
1325	chr16	8797723	8798064	+	0	NA	promoter-TSS (NM_015421)	promoter-TSS (NM_015421)	80	NM_000303	5373	Hs.625732	NM_000303	ENSG00000140650	PMM2	CDG1|CDG1a|CDGS|PMI|PMI1|PMM 2	phosphomannomutase 2	protein-coding
726	chr11	65570300	65570497	+	0	NA	promoter-TSS (NR_038923)	promoter-TSS (NR_038923)	15	NR_038923	254100	Hs.595927	NR_038923		SSSCA1-AS1	-	SSSCA1 antisense RNA 1 (head to head)	ncRNA
3622	chr7	135662252	135662764	+	0	NA	promoter-TSS (NM_001130929)	promoter-TSS (NM_001130929)	35	NM_001130929	647087	Hs.200022	NM_001130929	ENSG00000243317	STMP1	C7orf73|PL-5283	short transmembrane mitochondrial protein 1	protein-coding
3094	chr5	43120466	43121557	+	0	NA	promoter-TSS (NM_003432)	promoter-TSS (NM_003432)	168	NM_001330710	7690	Hs.535804	NM_003432	ENSG00000172262	ZNF131	ZBTB35|pHZ-10	zinc finger protein 131	protein-coding
634	chr11	3841580	3841834	+	0	NA	promoter-TSS (NM_001665)	promoter-TSS (NM_001665)	-724	NM_001665	391	Hs.501728	NM_001665	ENSG00000177105	RHOG	ARHG	ras homolog family member G	protein-coding
2341	chr2	96208434	96209117	+	0	NA	promoter-TSS (NM_020151)	promoter-TSS (NM_020151)	60	NM_020151	56910	Hs.469331	NM_020151	ENSG00000084090	STARD7	GTT1	StAR related lipid transfer domain containing 7	protein-coding
2082	chr19	38851446	38851975	+	0	NA	intron (NM_001005335, intron 1 of 12)	CpG-14439	629	NM_001005335	3191	Hs.644906	NM_001533	ENSG00000104824	HNRNPL	HNRPL|P/OKcl.14|hnRNP-L	heterogeneous nuclear ribonucleoprotein L	protein-coding
847	chr12	45990382	45990956	+	0	NA	promoter-TSS (NM_004719)	promoter-TSS (NM_004719)	-51	NM_004719	9169	Hs.210367	NM_004719	ENSG00000139218	SCAF11	CASP11|SFRS2IP|SIP1|SRRP129|SRSF2IP	SR-related CTD associated factor 11	protein-coding
752	chr11	75768396	75768664	+	0	NA	promoter-TSS (NM_032564)	promoter-TSS (NM_032564)	117	NR_046090	283214	Hs.591972	NR_046090	ENSG00000247867	LOC283214	-	uncharacterized LOC283214	ncRNA
4021	chrX	71532823	71533731	+	0	NA	5' UTR (NM_181673, exon 1 of 22)	5' UTR (NM_181673, exon 1 of 22)	215	NM_181673	8473	Hs.405410	NM_003605	ENSG00000147162	OGT	HINCUT-1|HRNT1|MRX106|O-GLCNAC|OGT1	O-linked N-acetylglucosamine (GlcNAc) transferase	protein-coding
3967	chr9	132669434	132670607	+	0	NA	promoter-TSS (NM_012204)	promoter-TSS (NM_012204)	-15	NR_133925	9329	Hs.22302	NM_012204	ENSG00000125484	GTF3C4	KAT12|TF3C-delta|TFIII90|TFIIIC290|TFIIIC90|TFIIICDELTA	general transcription factor IIIC subunit 4	protein-coding
