PeakID (cmd=annotatePeaks.pl /hpc/users/divagt01/watanabe/Divagar/ChIP_seq_files/consensus_peaks_files/unique_cmyc_peaks.bed hg38 -annStats unique_cmyc_peaks_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7849	chr4	46844308	46844753	+	0	NA	intron (NM_130902, intron 2 of 2)	intron (NM_130902, intron 2 of 2)	64705	NM_130902	170712	Hs.479656	NM_130902	ENSG00000170516	COX7B2	-	cytochrome c oxidase subunit 7B2	protein-coding
999	chr1	176948971	176949414	+	0	NA	exon (NM_004319, exon 12 of 23)	exon (NM_004319, exon 12 of 23)	80253	NR_030163	574441		NR_030163	ENSG00000202609	MIR488	MIRN488|hsa-mir-488|mir-488	microRNA 488	ncRNA
11095	chr9	108836431	108837251	+	0	NA	Intergenic	Intergenic	19154	NM_006686	10880	Hs.534390	NM_006686	ENSG00000148156	ACTL7B	Tact1	actin like 7B	protein-coding
90	chr1	10424031	10424717	+	0	NA	Intergenic	MLT1G3|LTR|ERVL-MaLR	-5728	NM_199006	100526739	Hs.412311	NM_198544	ENSG00000251503	CENPS-CORT	APITD1|APITD1-CORT|CENP-S|CENPS|FAAP16|MHF1	CENPS-CORT readthrough	protein-coding
8738	chr5	168291470	168292359	+	0	NA	promoter-TSS (NM_001161662)	promoter-TSS (NM_001161662)	-146	NM_015238	23286	Hs.484047	NM_015238	ENSG00000113645	WWC1	HBEBP3|HBEBP36|KIBRA|MEMRYQTL|PPP1R168	WW and C2 domain containing 1	protein-coding
8782	chr5	178730338	178730863	+	0	NA	5' UTR (NM_005649, exon 1 of 5)	5' UTR (NM_005649, exon 1 of 5)	102	NM_005649	6940	Hs.484324	NM_005649	ENSG00000169131	ZNF354A	EZNF|HEL104|HKL1|KID-1|KID1|TCF17	zinc finger protein 354A	protein-coding
5595	chr2	23351538	23351971	+	0	NA	Intergenic	Intergenic	-33673	NM_052920	114818	Hs.130593	NM_025067	ENSG00000119771	KLHL29	KBTBD9	kelch like family member 29	protein-coding
7540	chr3	156802757	156803339	+	0	NA	intron (NR_038387, intron 1 of 2)	MLT1A|LTR|ERVL-MaLR	8973	NR_003284	647033	Hs.745109	NR_003284		PA2G4P4	PA2G4L1	proliferation-associated 2G4 pseudogene 4	pseudo
2296	chr12	3141993	3142836	+	0	NA	intron (NM_006675, intron 2 of 8)	intron (NM_006675, intron 2 of 8)	65059	NM_001168320	10867	Hs.504517	NM_006675	ENSG00000011105	TSPAN9	NET-5|NET5|PP1057	tetraspanin 9	protein-coding
10371	chr8	29529063	29530564	+	0	NA	Intergenic	Intergenic	-179063	NM_001394	1846	Hs.417962	NM_001394	ENSG00000120875	DUSP4	HVH2|MKP-2|MKP2|TYP	dual specificity phosphatase 4	protein-coding
